Using TensorFlow backend.
Building Model
Modeling Finished
2017-08-06 03:20:33.925231: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925258: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925264: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925269: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925274: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
('TIMESTEP', 7700, '/ EPSILON', 0.09974359000004948, '/ Loss ', 44.370571)
('TIMESTEP', 7800, '/ EPSILON', 0.09974026000005012, '/ Loss ', 43.743004)
('TIMESTEP', 7900, '/ EPSILON', 0.09973693000005077, '/ Loss ', 48.956268)
('TIMESTEP', 8000, '/ EPSILON', 0.09973360000005141, '/ Loss ', 43.194862)
Model Saved
('TIMESTEP', 8100, '/ EPSILON', 0.09973027000005205, '/ Loss ', 44.78624)
('TIMESTEP', 8200, '/ EPSILON', 0.0997269400000527, '/ Loss ', 34.285751)
('TIMESTEP', 8300, '/ EPSILON', 0.09972361000005334, '/ Loss ', 49.12529)
('TIMESTEP', 8400, '/ EPSILON', 0.09972028000005398, '/ Loss ', 38.230331)
('TIMESTEP', 8500, '/ EPSILON', 0.09971695000005462, '/ Loss ', 45.500351)
('TIMESTEP', 8600, '/ EPSILON', 0.09971362000005526, '/ Loss ', 41.984386)
('TIMESTEP', 8700, '/ EPSILON', 0.0997102900000559, '/ Loss ', 34.704288)
('TIMESTEP', 8800, '/ EPSILON', 0.09970696000005655, '/ Loss ', 39.444153)
('TIMESTEP', 8900, '/ EPSILON', 0.09970363000005719, '/ Loss ', 54.961739)
('TIMESTEP', 9000, '/ EPSILON', 0.09970030000005783, '/ Loss ', 47.733524)
Model Saved
('TIMESTEP', 9100, '/ EPSILON', 0.09969697000005848, '/ Loss ', 42.200111)
('TIMESTEP', 9200, '/ EPSILON', 0.09969364000005912, '/ Loss ', 38.737659)
('TIMESTEP', 9300, '/ EPSILON', 0.09969031000005976, '/ Loss ', 40.798828)
('TIMESTEP', 9400, '/ EPSILON', 0.0996869800000604, '/ Loss ', 37.194839)
